Classification,Food Name,Moisture (water) (mg),Protein (mg),"Fat, total (mg)",Ash (mg),Total dietary fibre (mg),"Available carbohydrate, without sugar alcohols (mg)",Total sugars (mg),Starch (mg),Sodium (Na) (mg),Potassium (K) (mg),Calcium (Ca) (mg),Phosphorus (P) (mg),Magnesium (Mg) (mg),Iron (Fe) (mg),Zinc (Zn) (mg),Cholesterol (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin C (mg)
18301,"Chicken, drumstick, lean flesh, raw",75700.0,18500.0,4800.0,1000.0,0.0,0.0,0.0,0.0,71,260,10,200,22,0.6,1.7,84,0.14,0.13,5.0,0
18301,"Chicken, drumstick, lean flesh, baked, no added fat",57500.0,29900.0,8500.0,1200.0,0.0,400.0,400.0,0.0,120,300,24,210,26,1.6,2.8,160,0.1,0.19,9.39,0
18301,"Chicken, drumstick, lean flesh, casseroled, no added fat",64400.00000000001,28600.0,6600.0,900.0,0.0,0.0,0.0,0.0,74,220,17,220,23,0.9,2.4,130,0.19,0.31,4.0,0
18301,"Chicken, drumstick, lean flesh, skin & fat, raw",71800.0,17600.0,9300.0,900.0,0.0,0.0,0.0,0.0,67,240,10,186,20,0.61,1.56,86,0.121,0.126,4.59,0
18301,"Chicken, drumstick, lean flesh, skin & fat, baked, no added fat",54000.0,28500.0,13600.0,1200.0,0.0,300.0,300.0,0.0,113,285,28,214,26,1.53,2.58,162,0.085,0.189,8.82,0
18301,"Chicken, drumstick, lean flesh, skin & fat, casseroled, no added fat",61200.0,26900.0,11600.0,900.0,0.0,0.0,0.0,0.0,70,209,16,210,22,0.9,2.21,134,0.164,0.286,3.96,0
18301,"Chicken, mince, raw",76200.0,21400.0,1100.0,900.0,0.0,0.0,0.0,0.0,49,360,4,220,28,0.39,0.69,82,0.16,0.07,9.4,0
18301,"Chicken, mince, fried, no added fat",68700.0,28100.0,1400.0,1200.0,0.0,0.0,0.0,0.0,52,379,6,232,28,0.46,0.91,108,0.147,0.083,9.89,0
18301,"Chicken, thigh, lean flesh, raw",77200.0,19100.0,3000.0,1000.0,0.0,0.0,0.0,0.0,64,320,6,180,24,0.56,1.4,88,0.12,0.12,5.0,0
18301,"Chicken, thigh, lean flesh, baked, no added fat",65600.0,24200.0,8700.0,1000.0,0.0,0.0,0.0,0.0,76,290,18,240,26,0.9,2.0,120,0.06,0.33,6.0,0
18301,"Chicken, thigh, lean flesh, casseroled, no added fat",63100.0,26300.0,9800.0,900.0,0.0,0.0,0.0,0.0,62,230,15,210,22,0.9,2.1,100,0.08,0.22,5.0,0
