Dataset Exploration: AFCD Release 3 - sheet2.csv
=======================================================

Rows / samples: 1588
Feature count: 266
Number of classifications: 276
Missing Classification labels: 0

Feature list summary
--------------------
                                            feature    min       max        mean         std  missing_values
                                 Chromium (Cr) (ug)   0.00   392.500    8.354422   31.097411            1147
                                 Chloride (Cl) (mg)   0.00 61200.000  651.172174 4008.510484            1013
                                   Cobalt (Co) (ug)   0.00     1.000    0.107143    0.314970            1560
                                   Copper (Cu) (mg)   0.00     8.700    0.176637    0.448455             347
                                  Fluoride (F) (ug)   0.00  6500.000   72.144276  316.947444            1022
                                    Iodine (I) (ug)   0.00  4400.000   13.819081  125.606062               0
                                     Iron (Fe) (mg)   0.00   123.600    1.866461    4.918248               0
                                     Lead (Pb) (ug)   0.00    13.900    0.723077    1.756399            1055
                                Magnesium (Mg) (mg)   0.00   670.000   38.065491   60.738364               0
                                Manganese (Mn) (mg)   0.00    33.500    0.523975    1.636947             377
                                  Mercury (Hg) (ug)   0.00    59.600    1.624409    6.256143            1334
                               Molybdenum (Mo) (ug)   0.00   180.000   10.759879   19.703713             925
                                   Nickel (Ni) (ug)   0.00   325.000   14.464286   37.835122            1364
                                Phosphorus (P) (mg)   0.00  2000.000  157.031486  164.314494               0
                                 Potassium (K) (mg)   0.00 50009.000  349.801637 1364.961635               0
                                 Selenium (Se) (ug)   0.00  1917.000   11.323615   50.129857               0
                                   Sodium (Na) (mg)   0.00 38178.000  299.700882 1700.362345               0
                                   Sulphur (S) (mg)   0.00  1900.000  132.011211  158.729938            1142
                                      Tin (Sn) (ug)   0.00  1550.000   25.095349  192.138422            1459
                                     Zinc (Zn) (mg)   0.00    20.250    1.501455    2.043339               0
                 Retinol (preformed vitamin A) (ug)   0.00 31000.000   54.921285  880.056462               0
                                Alpha-carotene (ug)   0.00  4956.000   38.332024  355.992769             570
                                 Beta-carotene (ug)   0.00 26162.000  202.260705 1060.491519               0
                                 Cryptoxanthin (ug)   0.00  3275.000   33.587678  229.066931             744
      Beta-carotene equivalents (provitamin A) (ug)   0.00 26162.000  224.440806 1155.155511               0
                 Vitamin A retinol equivalents (ug)   0.00 31007.000   92.327456  899.473924               0
                                        Lutein (ug)   0.00  6100.000  609.848485 1117.170165            1522
                                      Lycopene (ug)   0.00  6800.000 1183.870968 2378.216359            1557
                                    Xanthophyl (ug)   0.00  2070.000  699.818182  761.270230            1577
                                  Thiamin (B1) (mg)   0.00    22.778    0.162078    0.674486               0
                               Riboflavin (B2) (mg)   0.00    17.111    0.140790    0.530037               0
                                   Niacin (B3) (mg)   0.00   124.000    2.511373    4.620590               0
                Niacin derived from tryptophan (mg)   0.00    13.520    1.932210    1.920811               0
                    Niacin derived equivalents (mg)   0.00   128.500    4.490623    5.801083               0
                         Pantothenic acid (B5) (mg)   0.00     7.000    0.467874    0.624064             572
                               Pyridoxine (B6) (mg)   0.00     3.000    0.177651    0.291088               0
                                   Biotin (B7) (ug)   0.00   200.000    5.521324   14.671426            1044
                               Cobalamin (B12) (ug)   0.00    76.500    0.688665    2.593635               0
                               Folate, natural (ug)   0.00  2340.000   35.462217  100.003953               0
                                    Folic acid (ug)   0.00  2354.000   10.408060   85.921366               0
