Classification,Food Name,Moisture (water),Protein,"Fat, total",Ash,Total dietary fibre,"Available carbohydrate, without sugar alcohols",Total sugars,Starch,Sodium (Na),Potassium (K),Calcium (Ca),Phosphorus (P),Magnesium (Mg),Iron (Fe),Zinc (Zn),Cholesterol,Thiamin (B1),Riboflavin (B2),Niacin (B3),Vitamin C
18101,"Veal, steak, boneless, leg, lean, raw ",0.5881748307582997,1.0635738974601427,-0.4488047080266938,-0.1714136090588883,-0.4741904464966608,-0.629869859855883,-0.4210148533042818,-0.4850676324639226,-0.2196252457266405,0.199727116861699,-0.3288103592753392,0.9447928155679176,-0.1211807033575586,-0.0966081529974764,1.366047813879152,0.2128939610197032,-0.3664566489760203,0.722360150937789,4.3918551869581774,-0.3091053658942665
18103,"Pork, forequarter shoulder roast, untrimmed, raw",0.318560781794976,0.4505741393962373,0.1609183997517555,-0.3081051307007217,-0.4741904464966608,-0.629869859855883,-0.4210148533042818,-0.4850676324639226,-0.1903131580786715,0.0501909027068232,-0.2753811356648308,0.1446504367105111,-0.329530281600566,-0.1620947127308886,0.2779846583434054,0.3299362913757768,1.7885886028857212,1.077547166275728,0.285211042635548,-0.3506109419404934
24401,"Silverbeet, fresh, raw",1.177068674546612,-0.9467047208964884,-0.5208628934914197,-0.239759369879805,-0.1004785850956334,-0.5639232682241699,-0.299285346199284,-0.4850676324639226,0.0103619035112703,-0.0796694937960951,0.1119807355113544,-0.7911092944956084,-0.017005914236055,-0.0291955179777872,-0.5380627083084044,-0.5283741312354292,-0.4896020919395484,0.0362034167622253,-0.8401674007605571,0.1889615466604562
13201,"Biscuit, savoury, from white wheat flour, water cracker style",-1.9908964007724417,-0.1984844279655449,-0.1328572794505882,0.443698238329362,0.126998200104992,2.6391968967447506,-0.2471155574399991,3.415605131742675,0.9167818446253898,-0.5715649350950286,-0.0616642412227975,-0.275763355570499,-0.0517308439432228,-0.077347400134708,-0.4458539663138495,-0.5283741312354292,0.2082220848537775,-0.6499533174133383,-0.4123919690602832,-0.3506109419404934
18103,"Pork, loin cutlet, untrimmed, raw",0.2759901424849775,0.75707401842819,0.1941760238123982,-0.239759369879805,-0.4741904464966608,-0.629869859855883,-0.4210148533042818,-0.4850676324639226,-0.2511921093475303,0.2272732615744393,-0.3354890122266527,0.2531443185894815,-0.2600804221862302,-0.2641767029035607,-0.1692277403301851,0.0698422239178355,2.3878964253082247,-0.8921262824164784,1.897595362121196,-0.3506109419404934
12103,"Tapioca, pearl or seed style, uncooked",-1.675164159223286,-1.1179840650614032,-0.5208628934914197,-0.9232169780889722,-0.4741904464966608,3.105533508997578,-0.4210148533042818,4.1042995812094185,-0.3436379242372788,-1.1500339740625745,-0.2620238297622038,-1.0352205287232916,-0.5899672544043253,-0.0388258944091714,-0.7547532519956079,-0.5283741312354292,-0.1612142440368068,-0.7306776390810517,-0.7743557958835919,-0.3506109419404934
18301,"Chicken, wing, lean flesh, raw",0.5526992979999676,0.5497358649653985,-0.3046883370972422,-0.4447966523425552,-0.4741904464966608,-0.629869859855883,-0.4210148533042818,-0.4850676324639226,-0.1970774859974335,-0.3354551232715406,-0.2820597886161444,0.2667060538243528,-0.2774428870398142,-0.2892156816251596,-0.2937095420228341,0.4989974352234385,-0.3664566489760203,0.1572898992637954,1.759390991879569,-0.3506109419404934
18102,"Lamb, fillet, untrimmed, raw",0.439177593173305,0.6038240789122137,-0.1494860914809096,-0.239759369879805,-0.4741904464966608,-0.629869859855883,-0.4210148533042818,-0.4850676324639226,-0.1970774859974335,0.1564403180273929,-0.3354890122266527,0.5379407585217788,-0.2600804221862302,0.0208824394654102,0.4762334536316983,0.381955104867365,-0.2638354465064135,1.198633648777298,0.686661832385036,-0.3506109419404934
18103,"Pork, rump steak, lean, raw",0.5136762119658024,1.1447062183803656,-0.4155470839660511,-0.1714136090588883,-0.4741904464966608,-0.629869859855883,-0.4210148533042818,-0.4850676324639226,-0.2331539015641647,0.1957919533313076,-0.3354890122266527,0.5379407585217788,-0.2253554924790623,-0.204468369028979,-0.0170833160391698,0.0568375205449385,3.90258537375962,-0.3270560307424848,2.91109407722646,-0.3506109419404934
16601,"Grape, waltham cross, raw",0.7442671748949607,-1.063895851114588,-0.5264058308348601,-0.7865254564471388,0.0945015165049026,0.0484379397845943,0.8310600769185532,-0.4850676324639226,-0.3323640443726753,-0.532213299791114,-0.2887384415674579,-0.9063840439920144,-0.5552423246971574,-0.3277371873506962,-0.7547532519956079,-0.5283741312354292,-0.5716990539152338,-0.6499533174133383,-0.7414499934451093,-0.0600719096169051
